Project Name,Files,Files with external imports,External CS Imports,External Non CS Imports,All Imports,Lines of code
node-java,6,3,0,12,30,3026
avxsynth,70,66,0,160,261,39473
qterminal,17,14,0,85,125,5294
cppzmq,13,13,0,33,33,2513
csmith,71,71,0,251,951,29268
SFML,168,105,0,262,732,41658
dotnetinstaller,244,91,0,174,859,39952
Shiboken,152,110,0,290,605,46516
arduino,9,3,0,7,11,1823
Spawner,36,29,0,98,167,7342
enigma-dev,403,365,0,1662,2980,96384
DGtal,461,443,0,1114,4189,105533
tiled,320,276,0,1169,3227,115714
pism,269,119,0,265,1908,75543
bulk_extractor,132,102,0,672,821,39982
fbalpha2012,474,241,0,405,1764,659470
vermont,178,121,0,521,916,34181
g2o,242,170,0,477,1376,48073
pyotherside,16,13,0,50,78,2761
libtorrent,157,154,0,561,1312,36300
mothur,447,58,0,171,1518,196935
cyclus,162,134,0,544,1017,64416
libhttpserver,42,37,0,143,180,6835
juffed,104,75,0,355,677,25231
node-opencv,20,14,0,25,89,7751
cubeb,26,25,0,181,217,13901
rtorrent,100,100,0,620,1091,22012
zmqpp,41,36,0,108,193,8140
clever,77,55,0,136,392,18727
fff,7,7,0,75,75,9500
Cockatrice,171,155,0,1262,1934,54276
magnum,466,360,0,1102,3288,132298
springlobby,158,138,0,1051,2012,42167
vlc-qt,48,33,0,94,241,7313
dhewm3,524,522,0,1145,2811,576970
kobuki,14,8,0,23,39,2731
tagainijisho,106,83,0,338,712,22547
synfig,630,629,0,2517,6761,237093
adaptagrams,304,299,0,1075,2038,179728
bedtools,122,77,0,248,481,31258
shogun,1018,591,0,1072,6020,242744
arcemu,529,170,0,475,1485,339285
node-java,6,3,0,12,30,3026
avxsynth,70,66,0,155,261,39473
qterminal,17,14,0,85,125,5294
cppzmq,13,13,0,33,33,2513
csmith,71,71,0,251,951,29268
SFML,168,104,0,254,732,41658
dotnetinstaller,244,84,0,167,859,39952
Shiboken,152,110,0,290,605,46516
arduino,9,3,0,7,11,1823
Spawner,36,29,0,97,167,7342
enigma-dev,403,365,0,1653,2980,96384
DGtal,461,443,0,1113,4189,105533
tiled,320,276,0,1169,3227,115714
pism,269,119,0,265,1908,75543
bulk_extractor,132,102,0,660,821,39982
fbalpha2012,474,229,0,378,1764,659470
vermont,178,122,0,501,916,34181
g2o,242,161,0,466,1376,48073
pyotherside,16,13,0,50,78,2761
libtorrent,157,154,0,563,1312,36300
mothur,447,58,0,171,1518,196935
cyclus,162,106,0,469,1017,64416
libhttpserver,42,24,0,116,180,6835
juffed,104,75,0,361,677,25231
node-opencv,20,14,0,25,89,7751
cubeb,26,25,0,181,217,13901
rtorrent,100,100,0,620,1091,22012
zmqpp,41,36,0,108,193,8140
clever,77,55,0,136,392,18727
fff,7,6,0,68,75,9500
Cockatrice,171,155,0,1269,1934,54276
magnum,466,360,0,1102,3288,132298
springlobby,158,138,0,1048,2012,42167
vlc-qt,48,33,0,94,241,7313
dhewm3,524,522,0,1173,2811,576970
kobuki,14,12,0,28,39,2731
tagainijisho,106,83,0,338,712,22547
synfig,630,629,0,1986,6761,237093
adaptagrams,304,227,0,983,2038,179728
bedtools,122,51,0,213,481,31258
shogun,1018,585,0,1033,6020,242744
arcemu,529,166,0,469,1485,339285
statismo,38,38,0,418,432,8240
libsass,67,36,0,122,397,29021
openlierox,512,447,0,2178,5112,221747
mumble,251,216,0,843,1649,80985
gambatte-libretro,31,29,0,103,151,13674
QtDropbox,7,1,0,1,9,3357
qtermwidget,26,26,0,179,240,15336
hypertable,693,686,0,2825,6111,209053
composite,165,116,0,297,449,24874
goldendict,135,125,0,688,1275,70579
protobuf,103,81,0,291,846,70858
ammo.js,455,331,0,974,2311,251560
namecoin-legacy,63,60,0,339,556,33862
flann,15,13,0,38,67,3753
ofxFenster,7,4,0,24,33,2171
ogs,795,629,0,2419,5455,130704
nitrogen,10,9,0,30,61,4794
vdrift,126,107,0,340,633,42825
Adafruit-ST7735-Library,3,1,0,4,9,893
qml-box2d,66,35,0,47,301,17432
statismo,38,38,0,418,432,8240
libsass,67,37,0,119,397,29021
openlierox,512,448,0,2202,5112,221747
mumble,251,215,0,845,1649,80985
gambatte-libretro,31,29,0,103,151,13674
QtDropbox,7,1,0,1,9,3357
qtermwidget,26,26,0,179,240,15336
hypertable,693,686,0,2813,6111,209053
composite,165,116,0,308,449,24874
goldendict,135,125,0,691,1275,70579
protobuf,103,81,0,299,846,70858
ammo.js,455,333,0,957,2311,251560
namecoin-legacy,63,60,0,315,556,33862
flann,15,13,0,38,67,3753
ofxFenster,7,4,0,24,33,2171
ogs,795,662,0,2680,5455,130704
nitrogen,10,9,0,30,61,4794
vdrift,126,107,0,339,633,42825
Adafruit-ST7735-Library,3,1,0,4,9,893
qml-box2d,66,35,0,48,301,17432
